Metadata,[TomB]XuunnY_2025-11-20_03-46-02,ReverieYLL_2025-11-20_03-46-29,PoisonedMango_2025-11-20_03-46-29,FrozenAlchemist_2025-11-20_04-01-56,Jnpox_2025-11-20_03-59-22,ajschoch_2025-11-20_03-47-50,Lonewolf_2467_2025-11-20_03-46-02,Gissni_2025-11-20_03-51-45,dieGans_2025-11-20_03-47-50,[iS]BarscrewlSports_2025-11-20_03-51-45,sludgefist_2025-11-20_04-01-56,Egoless_2025-11-20_03-59-22
Build 14,Thug (13.3s),Construction Bot (94.8s),Construction Vehicle (104.2s),Dragon's Teeth (52.2s),Incisor (54.8s),Aggravator (51.8s),Grunt (94.8s),Wind Turbine (86.1s),Thug (30.3s),Wind Turbine (78.2s),Graverobber (41.5s),Pounder (48.6s)
Build 15,Wind Turbine (28.6s),Graverobber (97.3s),Janus (159.4s),Dragon's Teeth (52.2s),Construction Vehicle (56.7s),Aggravator (52.8s),Graverobber (107.8s),Construction Turret (90.1s),Wind Turbine (56.9s),Wind Turbine (94.4s),Graverobber (43.2s),Wolverine (50.4s)
Build 16,Wind Turbine (29.0s),Grunt (130.0s),Dragon's Teeth (174.3s),Dragon's Teeth (52.2s),Construction Vehicle (60.4s),Thug (54.6s),Radar Tower (181.1s),Pawn (95.5s),Wind Turbine (58.8s),Tick (107.8s),Aggravator (45.0s),Wolverine (51.4s)
Build 17,Wind Turbine (46.1s),Graverobber (135.4s),Dragon's Teeth (174.3s),Dragon's Teeth (52.2s),Brute (61.9s),Thug (55.1s),Construction Bot (197.2s),Pawn (95.7s),Guard (188.6s),Lazarus (109.2s),Thug (46.0s),Construction Vehicle (52.1s)
Build 18,Wind Turbine (46.1s),Construction Bot (136.2s),Dragon's Teeth (174.3s),Dragon's Teeth (52.2s),Brute (62.3s),Aggravator (56.0s),Grunt (197.6s),Wind Turbine (112.4s),Guard (218.2s),Centurion (110.0s),Guard (151.6s),Wolverine (52.6s)
Build 19,Wind Turbine (95.5s),Thug (136.7s),Dragon's Teeth (174.3s),Dragon's Teeth (52.2s),Brute (62.6s),Guard (77.0s),Grunt (197.9s),Wind Turbine (113.7s),Thug (251.2s),Centurion (110.1s),Guard (153.5s),Pounder (54.5s)
Build 20,Wind Turbine (95.5s),Guard (187.0s),Dragon's Teeth (174.3s),Dragon's Teeth (52.2s),Brute (62.7s),Aggravator (81.5s),Grunt (208.0s),Wind Turbine (113.7s),Thug (251.4s),Rocketeer (111.4s),Radar Tower (156.6s),Brute (62.8s)
Build 21,Wind Turbine (95.5s),Guard (204.1s),Dragon's Teeth (174.3s),Dragon's Teeth (52.2s),Brute (62.9s),Aggravator (81.7s),Aggravator (208.8s),Wind Turbine (113.7s),Thug (251.5s),Tick (176.5s),Guard (180.7s),Pounder (63.8s)
Build 22,Wind Turbine (95.5s),Construction Bot (227.3s),Dragon's Teeth (174.3s),Dragon's Teeth (52.2s),Brute (63.1s),Aggravator (81.9s),Radar Tower (235.0s),Wind Turbine (113.7s),Thug (251.7s),Tick (176.6s),Guard (182.0s),Wolverine (64.4s)
Build 23,Wind Turbine (95.5s),Thug (228.0s),Dragon's Teeth (174.3s),Dragon's Teeth (52.2s),Brute (63.2s),Aggravator (82.0s),Guard (236.3s),Wind Turbine (113.7s),Thug (251.8s),Tick (176.8s),Wind Turbine (194.5s),Construction Vehicle (65.2s)
Build 24,Wind Turbine (95.5s),Graverobber (228.4s),Dragon's Teeth (174.3s),Dragon's Teeth (52.2s),Construction Vehicle (65.6s),Aggravator (82.2s),Construction Bot (240.2s),Wind Turbine (113.7s),Construction Turret (302.6s),Tick (176.9s),Wind Turbine (194.5s),Wind Turbine (80.5s)
Build 25,Wind Turbine (95.5s),Radar Tower (235.0s),Dragon's Teeth (174.3s),Dragon's Teeth (52.2s),Brute (66.1s),Aggravator (82.4s),Construction Turret (247.4s),Wind Turbine (113.7s),Wind Turbine (302.6s),Tick (177.1s),Wind Turbine (194.5s),Wind Turbine (80.5s)
Build 26,Wind Turbine (95.5s),Guard (245.0s),Dragon's Teeth (174.3s),Dragon's Teeth (52.2s),Brute (66.5s),Thug (83.0s),Construction Turret (247.4s),Wind Turbine (113.7s),Wind Turbine (302.6s),Centurion (183.5s),Wind Turbine (194.5s),Wind Turbine (80.5s)
Build 27,Wind Turbine (95.5s),Dragon's Teeth (259.9s),Dragon's Teeth (198.7s),Dragon's Teeth (52.2s),Brute (66.8s),Thug (83.2s),Energy Converter (250.9s),Pawn (123.6s),Wind Turbine (302.6s),Sentry (195.7s),Wind Turbine (194.5s),Wind Turbine (80.5s)
Build 28,Wind Turbine (95.5s),Dragon's Teeth (259.9s),Dragon's Teeth (198.7s),Dragon's Teeth (52.2s),Brute (67.1s),Grunt (84.6s),Energy Converter (250.9s),Pawn (123.7s),Wind Turbine (302.6s),Sentry (232.0s),Wind Turbine (194.5s),Wind Turbine (80.5s)
Build 29,Construction Turret (98.4s),Dragon's Teeth (259.9s),Dragon's Teeth (198.7s),Dragon's Teeth (52.2s),Brute (67.6s),Aggravator (136.7s),Energy Converter (250.9s),Rocketeer (136.8s),Wind Turbine (302.6s),Sentry (249.1s),Wind Turbine (194.5s),Wind Turbine (80.5s)
Build 30,Wind Turbine (101.2s),Dragon's Teeth (259.9s),Dragon's Teeth (198.7s),Dragon's Teeth (52.2s),Brute (67.8s),Aggravator (136.9s),Energy Converter (250.9s),Rocketeer (136.9s),Wind Turbine (302.6s),Radar Tower (253.2s),Wind Turbine (194.5s),Wind Turbine (80.5s)
Build 31,Wind Turbine (101.2s),Dragon's Teeth (259.9s),Dragon's Teeth (198.7s),Dragon's Teeth (52.2s),Brute (68.0s),Aggravator (137.0s),Energy Converter (250.9s),Rocketeer (137.1s),Wind Turbine (302.6s),Rocketeer (261.0s),Energy Converter (198.5s),Wind Turbine (80.5s)
Build 32,Wind Turbine (101.2s),Dragon's Teeth (259.9s),Dragon's Teeth (198.7s),Dragon's Teeth (52.2s),Wind Turbine (151.5s),Aggravator (137.2s),Energy Converter (250.9s),Rocketeer (137.1s),Wind Turbine (302.6s),Rocketeer (261.1s),Energy Converter (198.5s),Wind Turbine (80.5s)
Build 33,Wind Turbine (101.2s),Guard (274.5s),Beamer (202.1s),Dragon's Teeth (52.2s),Wind Turbine (151.5s),Aggravator (137.4s),Energy Converter (250.9s),Rocketeer (138.7s),Guard (323.5s),Rocketeer (261.3s),Energy Converter (198.5s),Wind Turbine (80.5s)
Build 34,Wind Turbine (101.2s),Wind Turbine (282.2s),Construction Vehicle (277.9s),Construction Vehicle (60.3s),Wind Turbine (151.5s),Aggravator (137.6s),Energy Converter (250.9s),Rocketeer (138.8s),Thug (390.8s),Centurion (261.8s),Energy Converter (198.5s),Wind Turbine (80.5s)
Build 35,Wind Turbine (101.2s),Wind Turbine (282.2s),Construction Vehicle (278.1s),Rover (62.7s),Wind Turbine (151.5s),Aggravator (138.3s),Wind Turbine (253.0s),Rocketeer (139.1s),Thug (391.0s),Rocketeer (262.5s),Aggravator (204.0s),Wind Turbine (80.5s)
Build 36,Wind Turbine (101.2s),Wind Turbine (282.2s),Sentry (282.2s),Janus (63.7s),Wind Turbine (154.6s),Aggravator (138.4s),Wind Turbine (253.0s),Energy Converter (143.4s),Thug (391.1s),Rocketeer (262.7s),Guard (262.1s),Wind Turbine (80.5s)
Build 37,Wind Turbine (101.2s),Wind Turbine (282.2s),Sentry (320.7s),Janus (63.9s),Wind Turbine (154.6s),Aggravator (138.6s),Wind Turbine (253.0s),Energy Converter (144.8s),Thug (391.3s),Sentry (280.0s),Radar Tower (277.7s),Wind Turbine (80.5s)
Build 38,Wind Turbine (101.2s),Wind Turbine (282.2s),Wind Turbine (340.4s),Janus (64.0s),Wind Turbine (154.6s),Aggravator (138.8s),Wind Turbine (253.0s),Energy Converter (144.8s),Energy Storage (394.9s),Dragon's Teeth (300.0s),Thug (287.8s),Wind Turbine (80.5s)
Build 39,Energy Storage (103.5s),Wind Turbine (282.2s),Wind Turbine (340.4s),Janus (64.1s),Wind Turbine (154.6s),Aggravator (139.0s),Wind Turbine (253.0s),Energy Converter (144.8s),Construction Turret (430.2s),Dragon's Teeth (300.4s),Graverobber (303.3s),Wind Turbine (80.5s)
Build 40,Wind Turbine (105.1s),Wind Turbine (282.2s),Wind Turbine (340.4s),Janus (64.3s),Energy Storage (241.3s),Aggravator (139.1s),Wind Turbine (253.0s),Energy Converter (144.8s),Thug (431.3s),Sentry (301.0s),Graverobber (303.4s),Wind Turbine (80.5s)
Build 41,Wind Turbine (105.1s),Wind Turbine (282.2s),Wind Turbine (340.4s),Janus (64.4s),Energy Storage (248.5s),Construction Bot (140.1s),Wind Turbine (253.0s),Energy Converter (144.8s),Thug (431.4s),Rocketeer (327.5s),Wind Turbine (365.9s),Wind Turbine (80.5s)
Build 42,Wind Turbine (105.1s),Wind Turbine (282.2s),Wind Turbine (340.4s),Janus (64.6s),Construction Turret (307.8s),Aggravator (140.8s),Wind Turbine (253.0s),Energy Converter (144.8s),Wind Turbine (440.0s),Rocketeer (327.7s),Wind Turbine (365.9s),Wind Turbine (80.5s)
Build 43,Wind Turbine (105.1s),Wind Turbine (282.2s),Wind Turbine (340.4s),Janus (64.7s),Wind Turbine (318.2s),Aggravator (140.9s),Wind Turbine (253.0s),Energy Converter (146.3s),Wind Turbine (440.0s),Sentry (332.7s),Wind Turbine (365.9s),Wind Turbine (80.5s)
Build 44,Wind Turbine (105.1s),Wind Turbine (282.2s),Wind Turbine (340.4s),Janus (64.9s),Wind Turbine (318.2s),Aggravator (141.1s),Wind Turbine (253.0s),Wind Turbine (148.7s),Wind Turbine (440.0s),Sentry (333.1s),Wind Turbine (365.9s),Wind Turbine (80.5s)
Build 45,Wind Turbine (105.1s),Wind Turbine (282.2s),Wind Turbine (340.4s),Janus (65.0s),Wind Turbine (318.2s),Aggravator (141.3s),Wind Turbine (253.0s),Wind Turbine (150.2s),Wind Turbine (440.0s),Sentry (341.3s),Wind Turbine (365.9s),Wind Turbine (80.5s)
Build 46,Wind Turbine (105.1s),Wind Turbine (282.2s),Wind Turbine (340.4s),Janus (65.2s),Wind Turbine (318.2s),Aggravator (141.4s),Wind Turbine (253.0s),Wind Turbine (150.2s),Wind Turbine (440.0s),Rocketeer (360.8s),Wind Turbine (365.9s),Wind Turbine (80.5s)
Build 47,Wind Turbine (105.1s),Wind Turbine (282.2s),Wind Turbine (340.4s),Janus (65.3s),Wind Turbine (318.2s),Aggravator (141.6s),Wind Turbine (253.0s),Wind Turbine (150.2s),Wind Turbine (440.0s),Construction Bot (362.8s),Wind Turbine (365.9s),Wind Turbine (80.5s)
Build 48,Wind Turbine (105.1s),Wind Turbine (282.2s),Wind Turbine (340.4s),Janus (65.5s),Wind Turbine (318.2s),Construction Turret (160.1s),Wind Turbine (253.0s),Wind Turbine (150.2s),Wind Turbine (440.0s),Wind Turbine (389.0s),Wind Turbine (365.9s),Wind Turbine (80.5s)
Build 49,Wind Turbine (105.1s),Wind Turbine (282.2s),Wind Turbine (340.4s),Janus (65.6s),Wind Turbine (318.2s),Twin Guard (268.5s),Wind Turbine (253.0s),Wind Turbine (150.2s),Wind Turbine (440.0s),Wind Turbine (389.0s),Construction Turret (375.2s),Wind Turbine (80.5s)
Build 50,Wind Turbine (105.1s),Wind Turbine (282.2s),Wind Turbine (340.4s),Janus (65.8s),Wind Turbine (318.3s),Twin Guard (269.7s),Wind Turbine (253.0s),Wind Turbine (150.2s),Wind Turbine (440.0s),Wind Turbine (389.0s),Agitator (378.0s),Wind Turbine (80.5s)
Build 51,Wind Turbine (105.1s),Wind Turbine (282.2s),Wind Turbine (340.4s),Janus (65.9s),Wind Turbine (318.3s),Warden (288.0s),Guard (258.7s),Wind Turbine (150.2s),Wind Turbine (440.0s),Wind Turbine (389.0s),Guard (385.0s),Wind Turbine (80.5s)
Build 52,Wind Turbine (105.1s),Wind Turbine (282.2s),Wind Turbine (340.4s),Janus (66.1s),Wind Turbine (318.3s),Warden (311.2s),Guard (286.0s),Wind Turbine (150.2s),Wind Turbine (440.0s),Wind Turbine (389.0s),Guard (386.1s),Wind Turbine (80.5s)
Build 53,Wind Turbine (105.1s),Wind Turbine (282.2s),Wind Turbine (340.4s),Janus (66.2s),Wind Turbine (318.3s),Agitator (411.1s),Dragon's Teeth (290.4s),Wind Turbine (151.9s),Wind Turbine (440.0s),Wind Turbine (389.0s),Guard (386.7s),Wind Turbine (80.5s)
Build 54,Wind Turbine (105.1s),Wind Turbine (282.2s),Wind Turbine (340.4s),Janus (66.4s),Wind Turbine (318.3s),Wind Turbine (423.2s),Dragon's Teeth (291.7s),Rocketeer (155.9s),Radar Tower (527.8s),Wind Turbine (389.0s),Dragon's Teeth (400.8s),Wind Turbine (80.5s)
Build 55,Wind Turbine (105.1s),Wind Turbine (282.2s),Wind Turbine (340.4s),Janus (66.5s),Wind Turbine (318.3s),Wind Turbine (423.2s),Dragon's Teeth (293.2s),Rocketeer (156.1s),Thug (566.8s),Wind Turbine (389.0s),Dragon's Teeth (400.8s),Wind Turbine (80.5s)
Build 56,Wind Turbine (105.1s),Wind Turbine (282.2s),Janus (341.6s),Janus (66.7s),Wind Turbine (318.3s),Wind Turbine (423.2s),Wind Turbine (357.6s),Radar Tower (169.8s),Thug (567.0s),Wind Turbine (389.0s),Dragon's Teeth (400.8s),Wind Turbine (82.1s)
Build 57,Wind Turbine (105.1s),Wind Turbine (282.2s),Blitz (341.8s),Janus (66.9s),Wind Turbine (318.3s),Wind Turbine (423.2s),Wind Turbine (357.6s),Sentry (188.3s),Thug (567.1s),Wind Turbine (389.0s),Dragon's Teeth (401.7s),Wind Turbine (82.1s)
Build 58,Wind Turbine (105.1s),Wind Turbine (282.2s),Radar Tower (348.2s),Janus (67.0s),Wind Turbine (320.9s),Wind Turbine (423.2s),Wind Turbine (357.6s),Sentry (190.1s),Thug (567.2s),Dragon's Teeth (395.9s),Dragon's Teeth (401.7s),Wind Turbine (82.1s)
Build 59,Wind Turbine (105.1s),Wind Turbine (282.2s),Sentry (349.6s),Janus (67.2s),Wind Turbine (320.9s),Wind Turbine (423.2s),Wind Turbine (357.6s),Sentry (190.2s),Thistle (579.0s),Dragon's Teeth (396.8s),Dragon's Teeth (401.7s),Wind Turbine (82.1s)
Build 60,Wind Turbine (105.1s),Wind Turbine (282.2s),Sentry (349.9s),Janus (67.3s),Wind Turbine (320.9s),Aggravator (618.1s),Wind Turbine (357.6s),Sentry (190.5s),Construction Turret (591.4s),Dragon's Teeth (397.2s),Dragon's Teeth (402.7s),Wind Turbine (82.1s)
Build 61,Wind Turbine (105.1s),Wind Turbine (282.2s),Construction Turret (407.0s),Construction Turret (84.1s),Wind Turbine (320.9s),Twin Guard (623.9s),Wind Turbine (357.6s),Sentry (190.5s),Construction Turret (591.9s),Dragon's Teeth (397.8s),Dragon's Teeth (403.9s),Wind Turbine (82.1s)
Build 62,Wind Turbine (105.1s),Wind Turbine (282.2s),Radar Tower (460.7s),Overwatch (96.5s),Wind Turbine (320.9s),Twin Guard (625.9s),Wind Turbine (357.6s),Sentry (190.8s),Thug (637.9s),Dragon's Teeth (398.7s),Dragon's Teeth (403.9s),Wind Turbine (82.1s)
Build 63,Wind Turbine (105.1s),Wind Turbine (282.2s),Blitz (486.2s),Metal Extractor (141.5s),Wind Turbine (320.9s),Thug (696.3s),Wind Turbine (357.6s),Sentry (191.7s),Thug (638.1s),Sentry (450.1s),Dragon's Teeth (403.9s),Wind Turbine (82.1s)
Build 64,Wind Turbine (105.1s),Wind Turbine (282.2s),Rover (486.5s),Metal Extractor (142.5s),Wind Turbine (320.9s),Thug (696.4s),Wind Turbine (357.6s),Construction Turret (195.2s),Thug (638.3s),Lazarus (482.7s),Dragon's Teeth (403.9s),Wind Turbine (82.1s)
Build 65,Wind Turbine (105.1s),Wind Turbine (282.2s),Sentry (495.6s),Wind Turbine (146.8s),Wind Turbine (321.0s),Thug (766.7s),Wind Turbine (357.6s),Rocketeer (200.8s),Thug (638.4s),Centurion (484.4s),Dragon's Teeth (404.6s),Wind Turbine (82.1s)
Build 66,Wind Turbine (105.1s),Wind Turbine (282.2s),Construction Turret (584.3s),Wind Turbine (146.8s),Wind Turbine (321.0s),Thug (766.9s),Wind Turbine (357.6s),Rocketeer (200.9s),Thug (638.6s),Centurion (484.6s),Dragon's Teeth (404.6s),Wind Turbine (82.1s)
Build 67,Wind Turbine (105.1s),Wind Turbine (282.2s),Wind Turbine (586.7s),Wind Turbine (146.8s),Wind Turbine (321.0s),Agitator (776.0s),Wind Turbine (357.6s),Rocketeer (201.0s),Grunt (639.0s),Rocketeer (486.2s),Dragon's Teeth (404.6s),Wind Turbine (82.1s)
Build 68,Wind Turbine (105.1s),Wind Turbine (282.2s),Wind Turbine (586.7s),Wind Turbine (148.2s),Wind Turbine (321.0s),,Wind Turbine (357.6s),Rocketeer (201.1s),Energy Converter (656.6s),Energy Converter (517.6s),Dragon's Teeth (405.8s),Wind Turbine (82.1s)
Build 69,Wind Turbine (105.1s),Wind Turbine (282.2s),Wind Turbine (586.7s),Wind Turbine (148.2s),Wind Turbine (321.0s),,Wind Turbine (357.6s),Sentry (239.6s),Energy Converter (656.6s),Energy Converter (517.6s),Guard (407.0s),Wind Turbine (82.1s)
Build 70,Wind Turbine (105.1s),Guard (372.7s),Wind Turbine (586.7s),Wind Turbine (148.2s),Wind Turbine (321.0s),,,Rocketeer (245.6s),Energy Converter (656.6s),Energy Converter (517.6s),Guard (407.4s),Wind Turbine (82.1s)
Build 71,Wind Turbine (105.1s),Guard (373.1s),Wind Turbine (586.7s),Construction Turret (152.3s),Wind Turbine (321.0s),,,Rocketeer (245.6s),Energy Converter (656.6s),Energy Converter (517.6s),Thug (452.7s),Wind Turbine (82.1s)
Build 72,Wind Turbine (105.1s),Guard (373.3s),Wind Turbine (586.7s),Construction Turret (153.1s),Wind Turbine (321.0s),,,Rocketeer (245.7s),Energy Converter (656.6s),Energy Converter (534.6s),Construction Bot (516.6s),Wind Turbine (82.1s)
Build 73,Wind Turbine (105.1s),Guard (373.5s),Wind Turbine (586.7s),Metal Extractor (208.1s),Wind Turbine (321.0s),,,Overwatch (258.0s),Energy Converter (656.6s),Energy Converter (534.8s),Thug (518.5s),Wind Turbine (82.1s)
Build 74,Wind Turbine (105.1s),Guard (373.5s),Wind Turbine (586.7s),Radar Tower (224.7s),Wind Turbine (321.0s),,,Sentry (261.6s),Energy Converter (656.6s),Energy Converter (535.6s),Energy Converter (533.4s),Wind Turbine (82.1s)
Build 75,Wind Turbine (105.1s),Guard (418.4s),Wind Turbine (586.7s),Sentry (227.5s),Wind Turbine (321.0s),,,Sentry (261.9s),Energy Converter (656.6s),Energy Converter (535.6s),Energy Converter (533.4s),Wind Turbine (82.1s)
Build 76,Wind Turbine (105.1s),Guard (418.6s),Wind Turbine (586.7s),Sentry (228.1s),Wind Turbine (321.0s),,,Sentry (262.0s),Wind Turbine (730.3s),Tick (712.7s),Energy Converter (533.4s),Wind Turbine (82.1s)
Build 77,Wind Turbine (105.1s),Guard (418.9s),Wind Turbine (586.7s),Janus (235.4s),Wind Turbine (321.0s),,,Sentry (263.5s),Wind Turbine (730.3s),Tick (712.9s),Energy Converter (533.4s),Wind Turbine (82.1s)
Build 78,Wind Turbine (105.1s),Guard (418.9s),Wind Turbine (586.7s),Janus (236.5s),Construction Turret (322.0s),,,Sentry (264.3s),Wind Turbine (730.3s),Pawn (713.3s),Construction Turret (553.1s),Wind Turbine (82.1s)
Build 79,Wind Turbine (105.1s),Guard (419.0s),Wind Turbine (586.7s),Construction Turret (246.6s),Construction Turret (324.6s),,,Sentry (265.0s),Wind Turbine (730.3s),Pawn (713.4s),Dragon's Teeth (562.9s),Wind Turbine (82.1s)
Build 80,Metal Extractor (106.0s),Radar Tower (433.7s),Wind Turbine (586.7s),Construction Turret (246.6s),Guard (353.7s),,,Construction Turret (267.9s),Wind Turbine (730.3s),Rocketeer (714.7s),Dragon's Teeth (562.9s),Wind Turbine (82.1s)
Build 81,Guard (115.0s),Construction Turret (441.3s),Construction Turret (611.6s),Wind Turbine (320.3s),Dragon's Teeth (356.3s),,,Energy Storage (339.7s),Wind Turbine (730.3s),Centurion (715.1s),Dragon's Teeth (564.9s),Wind Turbine (82.1s)
Build 82,Guard (229.3s),Construction Turret (468.9s),Sentry (616.2s),Wind Turbine (320.3s),Dragon's Teeth (356.3s),,,Construction Turret (344.1s),Wind Turbine (730.3s),Centurion (715.3s),Dragon's Teeth (564.9s),Wind Turbine (82.1s)
Build 83,Guard (231.2s),Construction Turret (469.4s),Sentry (616.5s),Wind Turbine (320.3s),Dragon's Teeth (358.1s),,,Gauntlet (364.1s),Wind Turbine (730.3s),Wind Turbine (765.4s),Dragon's Teeth (564.9s),Wind Turbine (82.1s)
Build 84,Guard (231.5s),Construction Turret (469.7s),Construction Turret (620.0s),Wind Turbine (321.2s),Dragon's Teeth (358.1s),,,Sneaky Pete (380.0s),Wind Turbine (732.2s),Wind Turbine (765.4s),Dragon's Teeth (565.7s),Wind Turbine (82.1s)
Build 85,Guard (238.4s),Construction Bot (572.8s),Wind Turbine (633.7s),Wind Turbine (322.4s),Dragon's Teeth (358.1s),,,Pawn (428.0s),Wind Turbine (732.2s),Wind Turbine (765.4s),Dragon's Teeth (565.7s),Wind Turbine (82.1s)
Build 86,Radar Tower (335.2s),Grunt (574.5s),Wind Turbine (633.7s),Wind Turbine (322.4s),Dragon's Teeth (358.1s),,,Pawn (428.1s),Wind Turbine (732.2s),Wind Turbine (765.4s),Dragon's Teeth (565.7s),Wind Turbine (82.1s)
